theme,url,img,lines,author
CONFIDENCE,/inspirational-quotes/8307-stay-afraid-but-do-it-anyway-what-s-important,https://assets.passiton.com/quotes/quote_artwork/8307/medium/20220225_friday_quote.jpg?1645297510,"Stay afraid, but do it anyway. What’s important is the action. You don’t have to wait to be confident. Just do it and eventually the confidence will follow. ",<Author:0x00007f1879fc7770>
CONFIDENCE,/inspirational-quotes/7199-one-must-have-the-adventurous-daring-to-accept,https://assets.passiton.com/quotes/quote_artwork/7199/medium/20220224_thursday_quote.jpg?1645297484,One must have the adventurous daring to accept oneself as a bundle of possibilities and undertake the most interesting game in the world - making the most of one's best.,<Author:0x00007f187a023b60>
CONFIDENCE,/inspirational-quotes/8306-be-proud-to-wear-you,https://assets.passiton.com/quotes/quote_artwork/8306/medium/20220223_wednesday_quote.jpg?1645297454,Be proud to wear you.,<Author:0x00007f187a05ca00>
CONFIDENCE,/inspirational-quotes/3472-i-was-always-looking-outside-myself-for,https://assets.passiton.com/quotes/quote_artwork/3472/medium/20220222_tuesday_quote.jpg?1645297430,I was always looking outside myself for strength and confidence but it comes from within. It is there all the time.,<Author:0x00007f187a0ba970>
CONFIDENCE,/inspirational-quotes/6990-every-small-positive-change-we-make-in,https://assets.passiton.com/quotes/quote_artwork/6990/medium/20220221_monday_quote.jpg?1645297400,Every small positive change we make in ourselves repays us in confidence in the future.,<Author:0x00007f187a0fea80>
LOVE,/inspirational-quotes/8305-love-does-not-dominate-it-cultivates,https://assets.passiton.com/quotes/quote_artwork/8305/medium/20220218_friday_quote.jpg?1644611843,Love does not dominate; it cultivates.,<Author:0x00007f187a17b0d0>
LOVE,/inspirational-quotes/6753-there-is-nothing-i-would-not-do-for-those-who,https://assets.passiton.com/quotes/quote_artwork/6753/medium/20220217_thursday_quote.jpg?1644611821,"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.",<Author:0x00007f187a1b23f0>
LOVE,/inspirational-quotes/7685-love-in-action-is-service,https://assets.passiton.com/quotes/quote_artwork/7685/medium/20220216_wednesday_quote.jpg?1644611788,Love in action is service.,<Author:0x00007f187a229540>
LOVE,/inspirational-quotes/7444-where-there-is-love-there-is-life,https://assets.passiton.com/quotes/quote_artwork/7444/medium/20220215_tuesday_quote_alternate.jpg?1644612053,Where there is love there is life.,<Author:0x00007f187a27bf98>
LOVE,/inspirational-quotes/7439-at-the-touch-of-love-everyone-becomes-a-poet,https://assets.passiton.com/quotes/quote_artwork/7439/medium/20220214_monday_quote.jpg?1644611729,At the touch of love everyone becomes a poet.,<Author:0x00007f187a2b4028>
FRIENDSHIP,/inspirational-quotes/8304-a-friend-may-be-waiting-behind-a-stranger-s-face,https://assets.passiton.com/quotes/quote_artwork/8304/medium/20220211_friday_quote_updated.jpg?1644000491,A friend may be waiting behind a stranger’s face.,<Author:0x00007f187a306620>
FRIENDSHIP,/inspirational-quotes/3331-wherever-we-are-it-is-our-friends-that-make,https://assets.passiton.com/quotes/quote_artwork/3331/medium/20220210_thursday_quote_updated.jpg?1644000474,"Wherever we are, it is our friends that make our world.",<Author:0x00007f187a343930>
FRIENDSHIP,/inspirational-quotes/8303-find-a-group-of-people-who-challenge-and,https://assets.passiton.com/quotes/quote_artwork/8303/medium/20220209_wednesday_quote_updated.jpg?1644000457,"Find a group of people who challenge and inspire you; spend a lot of time with them, and it will change your life.",<Author:0x00007f187a39d908>
FRIENDSHIP,/inspirational-quotes/8302-there-s-not-a-word-yet-for-old-friends-who-ve,https://assets.passiton.com/quotes/quote_artwork/8302/medium/20220208_tuesday_quote_updated.jpg?1644000442,There’s not a word yet for old friends who’ve just met.,<Author:0x00007f187a476028>
